Site Section,Site Subsection,Location Type,Ad Unit,Ad Unit Size,Ad Unit Group,Ad Unit Group ID,Ad Unit Name,Ad Unit ID
,,,Medium Rectangle 2,300 x 250,,,NEWS | Springfield Extra | Section | Medium Rectangle 2 | 300 x 250,304155
,,Story,Leaderboard,728 x 90,NEWS | Springfield Extra | Story,14017,NEWS | Springfield Extra | Story | Leaderboard | 728 x 90,304156
,,,Leaderboard,320 x 50,,,NEWS | Springfield Extra | Story | Leaderboard | 320 x 50,304157
,,,Medium Rectangle 1,300 x 250,,,NEWS | Springfield Extra | Story | Medium Rectangle 1 | 300 x 250,304158
,,,,,,,,
NEWS,Weather,,Leaderboard,728 x 90,NEWS | Weather,14023,NEWS | Weather | Leaderboard | 728 x 90,320642
,,,Leaderboard,320 x 50,,,NEWS | Weather | Leaderboard | 320 x 50,320643
,,,Medium Rectangle 1,300 x 250,,,NEWS | Weather | Medium Rectangle 1 | 300 x 250,320644
,,,Medium Rectangle 2,300 x 250,,,NEWS | Weather | Medium Rectangle 2 | 300 x 250,320645
,,,,,,,,
NEWS | BLOGS,Close to Home,Section,Leaderboard,728 x 90,NEWS | BLOGS | Close to Home | Section,14018,NEWS | BLOGS | Close to Home | Section | Leaderboard | 728 x 90,304159
,,,Leaderboard,320 x 50,,,NEWS | BLOGS | Close to Home | Section | Leaderboard | 320 x 50,304160
,,,Medium Rectangle 1,300 x 250,,,NEWS | BLOGS | Close to Home | Section | Medium Rectangle 1 | 300 x 250,304161
,,,Medium Rectangle 2,300 x 250,,,NEWS | BLOGS | Close to Home | Section | Medium Rectangle 2 | 300 x 250,304162
,,Story,Leaderboard,728 x 90,NEWS | BLOGS | Close to Home | Story,14019,NEWS | BLOGS | Close to Home | Story | Leaderboard | 728 x 90,304163
,,,Leaderboard,320 x 50,,,NEWS | BLOGS | Close to Home | Story | Leaderboard | 320 x 50,304164
,,,Medium Rectangle 1,300 x 250,,,NEWS | BLOGS | Close to Home | Story | Medium Rectangle 1 | 300 x 250,304165
,,,,,,,,
NEWS | BLOGS,School Lane,Section,Leaderboard,728 x 90,NEWS | BLOGS | School Lane | Section,14020,NEWS | BLOGS | School Lane | Section | Leaderboard | 728 x 90,304166
,,,Leaderboard,320 x 50,,,NEWS | BLOGS | School Lane | Section | Leaderboard | 320 x 50,304167
,,,Medium Rectangle 1,300 x 250,,,NEWS | BLOGS | School Lane | Section | Medium Rectangle 1 | 300 x 250,304168
,,,Medium Rectangle 2,300 x 250,,,NEWS | BLOGS | School Lane | Section | Medium Rectangle 2 | 300 x 250,304169
,,Story,Leaderboard,728 x 90,NEWS | BLOGS | School Lane | Story,14022,NEWS | BLOGS | School Lane | Story | Leaderboard | 728 x 90,304170
,,,Leaderboard,320 x 50,,,NEWS | BLOGS | School Lane | Story | Leaderboard | 320 x 50,304171
,,,Medium Rectangle 1,300 x 250,,,NEWS | BLOGS | School Lane | Story | Medium Rectangle 1 | 300 x 250,304172
