Site Section,Site Subsection,Location Type,Ad Unit,Ad Unit Size,Ad Unit Group,Ad Unit Group ID,Ad Unit,Ad Unit ID
,,,Medium Rectangle 2,300 x 250,,,SPORTS | Preps | Section | Medium Rectangle 2 | 300 x 250,302452
,,Story,Leaderboard,728 x 90,SPORTS | Preps | Story,14034,SPORTS | Preps | Story | Leaderboard | 728 x 90,302453
,,,Leaderboard,320 x 50,,,SPORTS | Preps | Story | Leaderboard | 320 x 50,302454
,,,Medium Rectangle 1,300 x 250,,,SPORTS | Preps | Story | Medium Rectangle 1 | 300 x 250,302455
,,,,,,,,
SPORTS,Track & Field,Section,Leaderboard,728 x 90,SPORTS | Track & Field | Section,100001,SPORTS | Track & Field | Section | Leaderboard | 728 x 90,302456
,,,Leaderboard,320 x 50,,,SPORTS | Track & Field | Section | Leaderboard | 320 x 50,302457
,,,Medium Rectangle 1,300 x 250,,,SPORTS | Track & Field | Section | Medium Rectangle 1 | 300 x 250,302458
,,,Medium Rectangle 2,300 x 250,,,SPORTS | Track & Field | Section | Medium Rectangle 2 | 300 x 250,302460
,,Story,Leaderboard,728 x 90,SPORTS | Track & Field | Story,100002,SPORTS | Track & Field | Story | Leaderboard | 728 x 90,302461
,,,Leaderboard,320 x 50,,,SPORTS | Track & Field | Story | Leaderboard | 320 x 50,302463
,,,Medium Rectangle 1,300 x 250,,,SPORTS | Track & Field | Story | Medium Rectangle 1 | 300 x 250,302465
,,,,,,,,
SPORTS | BLOGS,College Football,Section,Leaderboard,728 x 90,SPORTS | BLOGS | College Football | Section,100003,SPORTS | BLOGS | College Football | Section | Leaderboard | 728 x 90,302467
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | College Football | Section | Leaderboard | 320 x 50,302468
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | College Football | Section | Medium Rectangle 1 | 300 x 250,302468
,,,Medium Rectangle 2,300 x 250,,,SPORTS | BLOGS | College Football | Section | Medium Rectangle 2 | 300 x 250,302471
,,Story,Leaderboard,728 x 90,SPORTS | BLOGS | College Football | Story,100004,SPORTS | BLOGS | College Football | Story | Leaderboard | 728 x 90,302472
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | College Football | Story | Leaderboard | 320 x 50,302473
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | College Football | Story | Medium Rectangle 1 | 300 x 250,302475
,,,,,,,,
SPORTS | BLOGS,Oregon Football,Section,Leaderboard,728 x 90,SPORTS | BLOGS | Oregon Football | Section,100005,SPORTS | BLOGS | Oregon Football | Section | Leaderboard | 728 x 90,302476
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Oregon Football | Section | Leaderboard | 320 x 50,302478
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Oregon Football | Section | Medium Rectangle 1 | 300 x 250,302479
,,,Medium Rectangle 2,300 x 250,,,SPORTS | BLOGS | Oregon Football | Section | Medium Rectangle 2 | 300 x 250,302481
,,Story,Leaderboard,728 x 90,SPORTS | BLOGS | Oregon Football | Story,100006,SPORTS | BLOGS | Oregon Football | Story | Leaderboard | 728 x 90,302482
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Oregon Football | Story | Leaderboard | 320 x 50,302484
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Oregon Football | Story | Medium Rectangle 1 | 300 x 250,302485
,,,,,,,,
SPORTS | BLOGS,Oregon Men's Basketball,Section,Leaderboard,728 x 90,SPORTS | BLOGS | Oregon Men's Basketball | Section,100007,SPORTS | BLOGS | Oregon Men's Basketball | Section | Leaderboard | 728 x 90,302486
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Oregon Men's Basketball | Section | Leaderboard | 320 x 50,302487
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Oregon Men's Basketball | Section | Medium Rectangle 1 | 300 x 250,302488
,,,Medium Rectangle 2,300 x 250,,,SPORTS | BLOGS | Oregon Men's Basketball | Section | Medium Rectangle 2 | 300 x 250,302489
,,Story,Leaderboard,728 x 90,SPORTS | BLOGS | Oregon Men's Basketball | Story,100008,SPORTS | BLOGS | Oregon Men's Basketball | Story | Leaderboard | 728 x 90,302490
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Oregon Men's Basketball | Story | Leaderboard | 320 x 50,302491
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Oregon Men's Basketball | Story | Medium Rectangle 1 | 300 x 250,302492
,,,,,,,,
SPORTS | BLOGS,Oregon Women's Basketball,Section,Leaderboard,728 x 90,SPORTS | BLOGS | Oregon Women's Basketball | Section,100009,SPORTS | BLOGS | Oregon Women's Basketball | Section | Leaderboard | 728 x 90,303003
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Oregon Women's Basketball | Section | Leaderboard | 320 x 50,303004
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Oregon Women's Basketball | Section | Medium Rectangle 1 | 300 x 250,303006
,,,Medium Rectangle 2,300 x 250,,,SPORTS | BLOGS | Oregon Women's Basketball | Section | Medium Rectangle 2 | 300 x 250,303007
,,Story,Leaderboard,728 x 90,SPORTS | BLOGS | Oregon Women's Basketball | Story,100010,SPORTS | BLOGS | Oregon Women's Basketball | Story | Leaderboard | 728 x 90,303008
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Oregon Women's Basketball | Story | Leaderboard | 320 x 50,303009
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Oregon Women's Basketball | Story | Medium Rectangle 1 | 300 x 250,303010
,,,,,,,,
SPORTS | BLOGS,Prep Sports,Section,Leaderboard,728 x 90,SPORTS | BLOGS | Prep Sports | Section,100011,SPORTS | BLOGS | Prep Sports | Section | Leaderboard | 728 x 90,302493
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Prep Sports | Section | Leaderboard | 320 x 50,302494
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Prep Sports | Section | Medium Rectangle 1 | 300 x 250,302495
,,,Medium Rectangle 2,300 x 250,,,SPORTS | BLOGS | Prep Sports | Section | Medium Rectangle 2 | 300 x 250,302496
,,Story,Leaderboard,728 x 90,SPORTS | BLOGS | Prep Sports | Story,100012,SPORTS | BLOGS | Prep Sports | Story | Leaderboard | 728 x 90,302497
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Prep Sports | Story | Leaderboard | 320 x 50,302498
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Prep Sports | Story | Medium Rectangle 1 | 300 x 250,302499
,,,,,,,,
SPORTS | BLOGS,Talkin' Baseball,Section,Leaderboard,728 x 90,SPORTS | BLOGS | Talkin' Baseball | Section,13745,SPORTS | BLOGS | Talkin' Baseball | Section | Leaderboard | 728 x 90,302500
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Talkin' Baseball | Section | Leaderboard | 320 x 50,302501
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Talkin' Baseball | Section | Medium Rectangle 1 | 300 x 250,302502
,,,Medium Rectangle 2,300 x 250,,,SPORTS | BLOGS | Talkin' Baseball | Section | Medium Rectangle 2 | 300 x 250,302503
,,Story,Leaderboard,728 x 90,SPORTS | BLOGS | Talkin' Baseball | Story,,SPORTS | BLOGS | Talkin' Baseball | Story | Leaderboard | 728 x 90,302504
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Talkin' Baseball | Story | Leaderboard | 320 x 50,302505
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Talkin' Baseball | Story | Medium Rectangle 1 | 300 x 250,302506
,,,,,,,,
SPORTS | BLOGS,Track & Field,Section,Leaderboard,728 x 90,SPORTS | BLOGS | Track & Field | Section,13746,SPORTS | BLOGS | Track & Field | Section | Leaderboard | 728 x 90,302507
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Track & Field | Section | Leaderboard | 320 x 50,302508
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Track & Field | Section | Medium Rectangle 1 | 300 x 250,302509
,,,Medium Rectangle 2,300 x 250,,,SPORTS | BLOGS | Track & Field | Section | Medium Rectangle 2 | 300 x 250,302510
,,Story,Leaderboard,728 x 90,SPORTS | BLOGS | Track & Field | Story,,SPORTS | BLOGS | Track & Field | Story | Leaderboard | 728 x 90,302511
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Track & Field | Story | Leaderboard | 320 x 50,302512
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Track & Field | Story | Medium Rectangle 1 | 300 x 250,302513
,,,,,,,,
SPORTS | BLOGS,Xs & Os,Section,Leaderboard,728 x 90,SPORTS | BLOGS | Xs & Os | Section,13747,SPORTS | BLOGS | Xs & Os | Section | Leaderboard | 728 x 90,302514
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Xs & Os | Section | Leaderboard | 320 x 50,302515
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Xs & Os | Section | Medium Rectangle 1 | 300 x 250,302516
,,,Medium Rectangle 2,300 x 250,,,SPORTS | BLOGS | Xs & Os | Section | Medium Rectangle 2 | 300 x 250,302517
,,Story,Leaderboard,728 x 90,SPORTS | BLOGS | Xs & Os | Story,,SPORTS | BLOGS | Xs & Os | Story | Leaderboard | 728 x 90,302518
,,,Leaderboard,320 x 50,,,SPORTS | BLOGS | Xs & Os | Story | Leaderboard | 320 x 50,302519
,,,Medium Rectangle 1,300 x 250,,,SPORTS | BLOGS | Xs & Os | Story | Medium Rectangle 1 | 300 x 250,302520
