Site Section,Site Subsection,Location Type,Ad Unit,Ad Unit Size,Ad Unit Group,Ad Unit Group ID,Ad Unit Name,Ad Unit ID
,OPINION,Section,Leaderboard,728 x 90,OPINION | Section,14077,OPINION | Section | Leaderboard | 728 x 90,323137
,,,Leaderboard,320 x 50,,,OPINION | Section | Leaderboard | 320 x 50,323138
,,,Medium Rectangle 1,300 x 250,,,OPINION | Section | Medium Rectangle 1 | 300 x 250,323139
,,,Medium Rectangle 2,300 x 250,,,OPINION | Section | Medium Rectangle 2 | 300 x 250,323140
,,Story,Leaderboard,728 x 90,OPINION | Story,14078,OPINION | Story | Leaderboard | 728 x 90,323141
,,,Leaderboard,320 x 50,,,OPINION | Story | Leaderboard | 320 x 50,323143
,,,Medium Rectangle 1,300 x 250,,,OPINION | Story | Medium Rectangle 1 | 300 x 250,323144
